業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
貸出返却業務	貸出フロー	""	借りたい資料と図書館カードをカウンターに出す	""	""	""	""	アクター	会員	人手作業。会員が借りたい資料と図書館カードをカウンターの司書に提示する（システム利用なし）	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	情報	会員	""	""	会員番号の有効性、所蔵品の貸出可否（在庫中のみ貸出可能・二重貸出防止）、貸出制限（会員種別ごとの点数制限：中学生以上20点/小学生以下15点・視聴覚資料5点まで、延滞による貸出制限：遅延15日未満は貸出可能/15日以上2ヶ月未満は新規貸出不可/2ヶ月以上は貸出停止）を判定し、違反時は司書にエラーを提示する	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	情報	所蔵品	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	情報	貸出	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	条件	会員の有効性検証	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	条件	所蔵品の貸出可否	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	条件	二重貸出の防止	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	条件	貸出点数制限	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	条件	遅延による貸出制限	""	""	""	""
貸出返却業務	貸出フロー	""	会員番号・所蔵品番号・貸出日を入力し貸出可否を確認する	""	貸出可否を判定する	画面	貸出受付画面	アクター	司書	""	""
貸出返却業務	貸出フロー	""	貸出を登録する	""	貸出を登録する	情報	貸出	""	""	判定を通過した貸出を登録し、所蔵品状態を在庫中から貸出中に遷移させる。貸出期限日は貸出日から当日を含めて15日	""
貸出返却業務	貸出フロー	""	貸出を登録する	""	貸出を登録する	情報	所蔵品	""	""	""	""
貸出返却業務	貸出フロー	""	貸出を登録する	""	貸出を登録する	情報	会員	""	""	""	""
貸出返却業務	貸出フロー	""	貸出を登録する	""	貸出を登録する	条件	貸出期限（最大貸出日数15日）	""	""	""	""
貸出返却業務	貸出フロー	""	貸出を登録する	""	貸出を登録する	条件	二重貸出の防止	""	""	""	""
貸出返却業務	貸出フロー	""	貸出を登録する	""	貸出を登録する	画面	貸出受付画面	アクター	司書	""	""
貸出返却業務	貸出フロー	""	完了画面で会員の貸出状況を確認する	""	貸出状況を提示する	情報	会員	""	""	貸出登録の完了画面で会員の現在の貸出状況（貸出点数等）を提示し、司書が確認できるようにする	""
貸出返却業務	貸出フロー	""	完了画面で会員の貸出状況を確認する	""	貸出状況を提示する	情報	貸出	""	""	""	""
貸出返却業務	貸出フロー	""	完了画面で会員の貸出状況を確認する	""	貸出状況を提示する	画面	貸出完了画面	アクター	司書	""	""
貸出返却業務	貸出フロー	""	資料を会員に渡す	""	""	""	""	アクター	司書	人手作業。貸出登録済みの資料をカウンターで会員に手渡す（システム利用なし）	""
貸出返却業務	返却フロー	""	カウンターまたは返却ポストで資料を返す	""	""	""	""	アクター	会員	人手作業。会員がカウンター（閉館時間中は返却ポスト）で資料を返す（システム利用なし）	""
貸出返却業務	返却フロー	""	所蔵品番号と返却日を入力し返却を登録する	""	返却を登録する	情報	返却	""	""	返却を登録して所蔵品状態を貸出中から在庫中に戻し、資料を再び貸出可能にする。返却に伴い会員と貸出の紐付けを削除して貸出記録を会員から切り離す（個人情報保護）	""
貸出返却業務	返却フロー	""	所蔵品番号と返却日を入力し返却を登録する	""	返却を登録する	情報	貸出	""	""	""	""
貸出返却業務	返却フロー	""	所蔵品番号と返却日を入力し返却を登録する	""	返却を登録する	情報	所蔵品	""	""	""	""
貸出返却業務	返却フロー	""	所蔵品番号と返却日を入力し返却を登録する	""	返却を登録する	情報	会員	""	""	""	""
貸出返却業務	返却フロー	""	所蔵品番号と返却日を入力し返却を登録する	""	返却を登録する	条件	貸出記録の消去（個人情報保護）	""	""	""	""
貸出返却業務	返却フロー	""	所蔵品番号と返却日を入力し返却を登録する	""	返却を登録する	画面	返却受付画面	アクター	司書	""	""
貸出返却業務	返却フロー	""	資料を書架に戻す（次の予約があれば取置準備に回す）	""	""	""	""	アクター	司書	人手作業。返却された資料を書架に戻す。次の予約が入っている場合は取置準備フローに回す（システム利用なし）	""
貸出返却業務	貸出延長フロー	""	貸出の延長を申し出る	""	""	""	""	アクター	会員	人手作業。会員が貸出期間の延長を司書に申し出る（システム利用なし）	""
貸出返却業務	貸出延長フロー	""	予約の有無と延長回数を確認し貸出を延長する	""	貸出を延長する	情報	貸出	""	""	ほかの人の予約がないことと延長回数（1回まで）を確認し、貸出を15日間延長する。2回目の延長は認めない（as-isでは未実装のUC候補）	""
貸出返却業務	貸出延長フロー	""	予約の有無と延長回数を確認し貸出を延長する	""	貸出を延長する	情報	予約	""	""	""	""
貸出返却業務	貸出延長フロー	""	予約の有無と延長回数を確認し貸出を延長する	""	貸出を延長する	情報	所蔵品	""	""	""	""
貸出返却業務	貸出延長フロー	""	予約の有無と延長回数を確認し貸出を延長する	""	貸出を延長する	条件	貸出延長の条件	""	""	""	""
貸出返却業務	貸出延長フロー	""	予約の有無と延長回数を確認し貸出を延長する	""	貸出を延長する	画面	貸出延長画面	アクター	司書	""	""
予約取置業務	予約受付フロー	""	借りたい資料をキーワードで探し在庫の有無を確認する	""	所蔵品目を検索する	情報	所蔵品目	""	""	所蔵品目をキーワードで検索し、在庫の有無を含む一覧を確認する	""
予約取置業務	予約受付フロー	""	借りたい資料をキーワードで探し在庫の有無を確認する	""	所蔵品目を検索する	情報	所蔵品	""	""	""	""
予約取置業務	予約受付フロー	""	借りたい資料をキーワードで探し在庫の有無を確認する	""	所蔵品目を検索する	条件	予約受付の条件（在庫有無を問わない）	""	""	""	""
予約取置業務	予約受付フロー	""	借りたい資料をキーワードで探し在庫の有無を確認する	""	所蔵品目を検索する	画面	蔵書検索画面	アクター	会員	""	""
