コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
資料管理	所蔵品状態	""	""	未登録	資料現物（所蔵品）が貸出可能かどうかを管理する基盤の状態モデル。蔵書として登録される前の所蔵品は未登録状態から始まる（開始遷移に対応するUCはない）
資料管理	所蔵品状態	未登録	蔵書を登録する	在庫中	蔵書登録フローで受け入れた資料を蔵書（所蔵品目・所蔵品）として登録すると在庫中になり、会員が借りられる資料となる（蔵書登録UCはas-is未実装で現状は初期データ投入のみ）
資料管理	所蔵品状態	在庫中	貸出を登録する	貸出中	貸出フローの貸出登録で在庫中の所蔵品を貸出中にする。在庫中のときのみ貸出を認めることで二重貸出を防止する（資料の状態と記録の整合性を厳格に保つポリシー）
資料管理	所蔵品状態	貸出中	返却を登録する	在庫中	返却フローの返却登録で資料を再び貸出可能な状態に戻す。閉館時間中の返却ポスト分も含めて速やかに在庫へ戻す（返却は開館時間外でも受け付けるポリシー）
資料管理	所蔵品状態	在庫中	取置を登録する	取置中	取置準備フローで司書が書架から資料を確保して取置を登録すると取置中になる。取置登録時は所蔵品の登録有無・予約資料との品目一致・在庫状態を検証する
資料管理	所蔵品状態	取置中	取置を貸し出す	貸出中	取置受け渡しフローで取置期限内に受け取りに来た会員へ取置中の資料を貸出登録して渡すと貸出中になる
資料管理	所蔵品状態	取置中	取置を期限切れにする	在庫中	取置期限切れ処理フローで取置期限（取置日+7日）を過ぎた取置を解放し、資料を次の予約者または書架に戻して他の会員が利用できるようにする（取置期限切れは解放するポリシー）
資料管理	所蔵品状態	在庫中	""	その他	図書館都合による貸出停止を想定したフォールバック状態への遷移（明示的な遷移UCは未実装のため遷移UCなし）
資料管理	所蔵品状態	その他	""	在庫中	図書館都合による貸出停止の解除で貸出可能な状態へ戻る想定（明示的な遷移UCは未実装のため遷移UCなし）
資料管理	所蔵品状態	在庫中	""	""	資料の除籍・廃棄による蔵書からの除外を想定した終端（初期要望のスコープ外のため対応する業務・UCはない）
予約管理	予約状態	""	予約を登録する	未準備	会員からの貸出予約が取置によって消し込まれるまでを管理する状態モデル。予約受付フローで貸出中・在庫中を問わず予約を登録すると未準備になり、司書は未準備の予約一覧（待ち順番×在庫数による取置可否表示つき）から取置準備・取消を判断する
予約管理	予約状態	未準備	取置を登録する	消込済	取置準備フローの取置登録（資料確保の成立）で消込済へ遷移する。取置登録時には会員と予約の紐付けを消去する（予約記録は取置時に消去する個人情報保護ポリシー）
予約管理	予約状態	未準備	予約を取り消す	消込済	予約取消フローの予約取消（在庫なし連絡の起点）で消込済へ遷移する。取消は予約取消として記録されるが独立した状態値はなく消込済に合流する（as-is）
予約管理	予約状態	消込済	""	""	消込済は終了状態であり他の状態へ遷移しない
