コンテキスト	バリエーション	値	説明
会員管理	会員種別	中学生以上、小学生以下	会員を年齢層で区分する。会員種別によって貸出点数の上限（中学生以上は20点まで、小学生以下は15点まで）が異なるため、貸出可否判定の軸として管理する
資料管理	所蔵品目種別	図書、視聴覚資料	所蔵品目を図書と視聴覚資料（DVD/CD等）に分類する。種別によって貸出・予約できる点数の上限（視聴覚資料はうち5点まで）が異なるため、貸出・予約の制限判定の軸として管理する
貸出管理	貸出点数制限区分	貸出15点・視聴覚資料5点まで、貸出20点・視聴覚資料5点まで	会員種別ごとの貸出上限のセットを区分する。会員種別と組み合わせて貸出点数制限のルール（表条件）を表現するために管理する
貸出管理	遅延日数区分	遅延日数15日未満、遅延日数15日以上2ヶ月未満、遅延日数2ヶ月以上	会員の未返却貸出のうち最大の遅延期間を段階に区分する。延滞の罰則（新規貸出不可・貸出停止）を段階的に適用するための遅延による貸出制限の軸として管理する
貸出管理	遅延制限区分	貸出可能、新規貸出不可、貸出停止	遅延日数区分に応じた貸出制限の内容を区分する。延滞者への貸出サービス制限（15日未満=貸出可能、15日以上2ヶ月未満=新規貸出不可、2ヶ月以上=貸出停止）を運用するために管理する
貸出管理	貸出可否	貸出可能、冊数制限により貸出不可、視聴覚資料貸出不可、新規貸出不可、貸出一定期間停止	貸出可否判定の最終結果を区分する。司書がカウンターで貸出の可否とその理由（エラーメッセージ）を利用者に説明するために管理する
貸出管理	所蔵品の貸出可否	貸出可能、貸出中により貸出不可能、予約中により貸出不可能、その他の理由で貸出不可能	所蔵品（現物）の状態に基づく貸出可否を区分する。所蔵品状態が在庫中のときのみ貸出可能とし、カウンターで所蔵品ごとの貸出可否を理由つきで判断するために管理する
予約管理	予約可否	予約可能、冊数制限により予約不可、視聴覚資料予約不可、予約一定期間停止	予約可否判定の結果を区分する。予約点数制限（ひとり15点まで・うち視聴覚資料5点まで）の適用結果を利用者に提示するために管理する
予約管理	予約点数制限区分	予約点数まで貸出可、予約停止	予約点数制限のルールを表現するための区分。遅延による予約停止（延滞者は図書館カードが必要なサービスを受けられない）を表すために管理する
予約管理	取置可否	取置可能、取置不可	未準備の予約に対する取置の可否を区分する。在庫数と予約の待ち順番（在庫数−自身より前の未準備予約数>0で取置可能）から司書が取置の準備対象を判断するために管理する
資料管理	在庫有無	在庫あり、在庫なし	所蔵品目の在庫を区分する。貸出可能な所蔵品の件数から導出し、検索結果や予約一覧で利用者・司書に在庫状況を提示するために管理する
取置管理	資料照合結果	一致、不一致	予約された資料と司書が確保した所蔵品の品目の照合結果を区分する。取置登録時に誤った資料の取置を防ぐために管理する
