業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
蔵書管理業務	蔵書を管理するフロー		蔵書の登録状況を確認する		書籍一覧を参照する	情報	書籍			司書が登録済みの書籍を一覧で参照し、登録・編集・削除の対象と登録状況を確認する	
蔵書管理業務	蔵書を管理するフロー		蔵書の登録状況を確認する		書籍一覧を参照する	情報	ジャンル				
蔵書管理業務	蔵書を管理するフロー		蔵書の登録状況を確認する		書籍一覧を参照する	条件	在庫状況判定				
蔵書管理業務	蔵書を管理するフロー		蔵書の登録状況を確認する		書籍一覧を参照する	条件	媒体種別判定				
蔵書管理業務	蔵書を管理するフロー		蔵書の登録状況を確認する		書籍一覧を参照する	画面	蔵書一覧画面	アクター	司書		価値受益
蔵書管理業務	蔵書を管理するフロー		書籍情報を登録する		書籍を登録する	情報	書籍			司書がタイトル・著者・ISBN・出版社・ジャンル・媒体種別（紙・電子）を入力して書籍を蔵書として登録する。初期リリースでは媒体種別は紙のみ運用する	
蔵書管理業務	蔵書を管理するフロー		書籍情報を登録する		書籍を登録する	情報	ジャンル				
蔵書管理業務	蔵書を管理するフロー		書籍情報を登録する		書籍を登録する	条件	媒体種別判定				
蔵書管理業務	蔵書を管理するフロー		書籍情報を登録する		書籍を登録する	画面	書籍登録画面	アクター	司書		価値提供
蔵書管理業務	蔵書を管理するフロー		書籍情報を編集する		書籍を編集する	情報	書籍			司書が登録済みの書籍情報を修正して保存し、変更内容を蔵書に反映する	
蔵書管理業務	蔵書を管理するフロー		書籍情報を編集する		書籍を編集する	情報	ジャンル				
蔵書管理業務	蔵書を管理するフロー		書籍情報を編集する		書籍を編集する	条件	媒体種別判定				
蔵書管理業務	蔵書を管理するフロー		書籍情報を編集する		書籍を編集する	画面	書籍編集画面	アクター	司書		価値提供
蔵書管理業務	蔵書を管理するフロー		書籍情報を削除する		書籍を削除する	情報	書籍			司書が不要になった書籍を削除し、蔵書一覧から除外する	
蔵書管理業務	蔵書を管理するフロー		書籍情報を削除する		書籍を削除する	画面	書籍削除確認画面	アクター	司書		価値提供
蔵書管理業務	書籍を検索するフロー		読みたい書籍を探す		書籍を検索する	情報	書籍			利用者がキーワード・タイトル・著者・ISBN・ジャンルのいずれかを条件に蔵書を検索し、該当する書籍の一覧を表示する	
蔵書管理業務	書籍を検索するフロー		読みたい書籍を探す		書籍を検索する	情報	ジャンル				
蔵書管理業務	書籍を検索するフロー		読みたい書籍を探す		書籍を検索する	条件	書籍検索条件判定				
蔵書管理業務	書籍を検索するフロー		読みたい書籍を探す		書籍を検索する	条件	在庫状況判定				
蔵書管理業務	書籍を検索するフロー		読みたい書籍を探す		書籍を検索する	画面	蔵書検索画面	アクター	利用者		価値受益
蔵書管理業務	書籍を検索するフロー		書籍の詳細と在庫状況を確認する		書籍詳細を参照する	情報	書籍			利用者が検索結果から書籍を選び、書籍の詳細と在庫状況（在庫あり・貸出中・予約待ち）を確認する	
蔵書管理業務	書籍を検索するフロー		書籍の詳細と在庫状況を確認する		書籍詳細を参照する	情報	ジャンル				
蔵書管理業務	書籍を検索するフロー		書籍の詳細と在庫状況を確認する		書籍詳細を参照する	情報	予約				
蔵書管理業務	書籍を検索するフロー		書籍の詳細と在庫状況を確認する		書籍詳細を参照する	条件	在庫状況判定				
蔵書管理業務	書籍を検索するフロー		書籍の詳細と在庫状況を確認する		書籍詳細を参照する	画面	書籍詳細・在庫状況画面	アクター	利用者		価値受益
蔵書管理業務	書籍を検索するフロー		利用者の問い合わせに応じて書籍を探す		書籍を検索する	情報	書籍			司書が窓口で利用者からの問い合わせに応じ、同じ検索機能で蔵書と在庫状況を確認して案内する	
蔵書管理業務	書籍を検索するフロー		利用者の問い合わせに応じて書籍を探す		書籍を検索する	情報	ジャンル				
蔵書管理業務	書籍を検索するフロー		利用者の問い合わせに応じて書籍を探す		書籍を検索する	条件	書籍検索条件判定				
蔵書管理業務	書籍を検索するフロー		利用者の問い合わせに応じて書籍を探す		書籍を検索する	条件	在庫状況判定				
蔵書管理業務	書籍を検索するフロー		利用者の問い合わせに応じて書籍を探す		書籍を検索する	画面	窓口蔵書検索画面	アクター	司書		価値提供
利用者管理業務	利用者を管理するフロー		利用登録を申し込む							利用者が窓口で氏名・連絡先を提示して図書館の利用登録を申し込む（システムを使わない作業）	
利用者管理業務	利用者を管理するフロー		利用者情報を登録する		利用者を登録する	情報	利用者			司書が氏名・連絡先を入力して利用者を登録し、一意の利用者番号を付与する	
利用者管理業務	利用者を管理するフロー		利用者情報を登録する		利用者を登録する	画面	利用者登録画面	アクター	司書		価値提供
利用者管理業務	利用者を管理するフロー		利用者情報を編集する		利用者を編集する	情報	利用者			司書が登録済みの利用者情報（氏名・連絡先等）を修正して保存する	
利用者管理業務	利用者を管理するフロー		利用者情報を編集する		利用者を編集する	画面	利用者編集画面	アクター	司書		価値提供
利用者管理業務	利用者を管理するフロー		利用者情報を削除する		利用者を削除する	情報	利用者			司書が利用を終了した利用者を削除し、利用者一覧から除外する	
利用者管理業務	利用者を管理するフロー		利用者情報を削除する		利用者を削除する	画面	利用者削除確認画面	アクター	司書		価値提供
利用者管理業務	利用者を管理するフロー		利用者の登録状況を確認する		利用者一覧を参照する	情報	利用者			司書が登録済みの利用者を一覧で参照し、利用者番号や連絡先を確認する	
利用者管理業務	利用者を管理するフロー		利用者の登録状況を確認する		利用者一覧を参照する	画面	利用者一覧画面	アクター	司書		価値提供
貸出業務	書籍を貸し出すフロー		借りたい書籍を窓口に持ち込む							利用者が在庫ありの書籍を書架から取り、利用者番号とともに窓口に提示する（システムを使わない作業）	
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	情報	貸出			司書が利用者と書籍を指定して貸出記録を作成し、書籍の状態を在庫ありから貸出中に遷移させる。返却期限は貸出日に所定の貸出期間を加算して自動設定する。書籍が貸出中の場合は貸出できない旨を表示する	
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	情報	書籍				
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	情報	利用者				
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	情報	貸出期間				
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	条件	貸出可否判定				
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	条件	返却期限算出				
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	条件	媒体種別判定				
貸出業務	書籍を貸し出すフロー		貸出を記録する		貸出を登録する	画面	貸出受付画面	アクター	司書		価値提供
貸出業務	書籍を貸し出すフロー		返却期限を確認して書籍を受け取る							利用者が司書から返却期限の案内を受け、書籍を受け取る（システムを使わない作業）	
貸出業務	書籍を返却するフロー		書籍を窓口に返却する							利用者が借りていた書籍を窓口に返却する（システムを使わない作業）	
貸出業務	書籍を返却するフロー		返却を記録する		返却を登録する	情報	貸出			司書が返却を登録し、貸出の状態を返却済みに遷移させる。書籍の状態は予約がなければ在庫あり、予約があれば予約待ちに遷移させる	
貸出業務	書籍を返却するフロー		返却を記録する		返却を登録する	情報	書籍				
貸出業務	書籍を返却するフロー		返却を記録する		返却を登録する	情報	予約				
貸出業務	書籍を返却するフロー		返却を記録する		返却を登録する	条件	返却後の書籍状態判定				
貸出業務	書籍を返却するフロー		返却を記録する		返却を登録する	画面	返却受付画面	アクター	司書		価値提供
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	情報	予約			返却登録に伴い、予約順位1位の利用者にメール配信サービス経由で返却通知メールを送信し、予約の状態を予約中から通知済みに遷移させる	
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	情報	利用者				
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	情報	通知				
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	情報	書籍				
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	条件	返却通知対象判定				
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	画面	返却通知送信確認画面	アクター	司書		価値提供
貸出業務	書籍を返却するフロー		予約者へ返却を通知する		返却通知を送信する	イベント	返却通知メール配信	外部システム	メール配信サービス		
貸出業務	書籍を返却するフロー		返却通知を受け取る							予約順位1位の利用者が返却通知メールを受け取り、来館して書籍を借りる準備をする（システムを使わない作業）	
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	情報	予約			利用者が貸出中の書籍に予約を登録し、受付順の予約順位つきで予約中として管理される。在庫ありの書籍には予約できない旨を表示する	
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	情報	書籍				
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	情報	利用者				
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	条件	予約可否判定				
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	条件	予約順位決定				
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	条件	媒体種別判定				
貸出業務	書籍を予約するフロー		貸出中の書籍を予約する		予約を登録する	画面	予約申込画面	アクター	利用者		価値受益
貸出業務	書籍を予約するフロー		予約を取り消す		予約を取り消す	情報	予約			利用者が自分の予約を取り消し、予約の状態を取消に遷移させる。後続の予約順位を繰り上げる	
貸出業務	書籍を予約するフロー		予約を取り消す		予約を取り消す	情報	書籍				
貸出業務	書籍を予約するフロー		予約を取り消す		予約を取り消す	条件	予約順位決定				
貸出業務	書籍を予約するフロー		予約を取り消す		予約を取り消す	条件	利用状況閲覧範囲判定				
貸出業務	書籍を予約するフロー		予約を取り消す		予約を取り消す	画面	予約取消画面	アクター	利用者		価値受益
貸出業務	書籍を予約するフロー		書籍の予約状況を確認する		予約一覧を参照する	情報	予約			司書が書籍ごとの予約順位と予約状態を確認し、返却時に引き渡す利用者を把握する	
貸出業務	書籍を予約するフロー		書籍の予約状況を確認する		予約一覧を参照する	情報	書籍				
貸出業務	書籍を予約するフロー		書籍の予約状況を確認する		予約一覧を参照する	情報	利用者				
貸出業務	書籍を予約するフロー		書籍の予約状況を確認する		予約一覧を参照する	画面	書籍別予約状況画面	アクター	司書		価値提供
