コンテキスト	条件	条件の説明	バリエーション	状態モデル
貸出管理	貸出可否判定	書籍の状態が「在庫あり」であり、かつ貸出先が登録済みの利用者である場合に貸出可能とする。書籍が「貸出中」または「予約待ち」の場合は貸出できない。予約待ちの書籍は予約順位1位の利用者に限り貸出可能とする		書籍の状態
予約管理	予約可否判定	書籍の状態が「貸出中」または「予約待ち」の場合のみ予約を受け付ける。書籍が「在庫あり」の場合は予約できない		書籍の状態
貸出管理	返却期限算出	貸出日にビジネスパラメータ「貸出期間」を加算した日付を返却期限とする		
貸出管理	返却後の書籍状態判定	返却された書籍に予約中の予約が1件以上ある場合は書籍の状態を「予約待ち」、予約がない場合は「在庫あり」に遷移させる。貸出の状態は「貸出中」「延滞」のいずれからも「返却済み」に遷移させる		書籍の状態、予約の状態、貸出の状態
通知管理	返却通知対象判定	返却された書籍に予約中の予約がある場合、予約順位1位の利用者を通知種別「返却通知」の送信先とし、予約の状態を「予約中」から「通知済み」に遷移させる。予約がない場合は送信しない	通知種別	予約の状態
予約管理	予約順位決定	予約は受付日時の早い順に順位を付与し、予約が取り消された場合は後続の予約中・通知済みの予約の順位を繰り上げる。取消・終了した予約は順位の管理対象から外す		予約の状態
貸出管理	リマインド対象判定	貸出の状態が「貸出中」で未返却、かつ返却期限までの残日数がビジネスパラメータ「リマインド日数」以内の貸出を通知種別「リマインド」の送信対象とする	通知種別	貸出の状態
貸出管理	延滞判定	貸出の状態が「貸出中」で未返却、かつ当日の日付が返却期限を超過している貸出を延滞とし、貸出の状態を「延滞」に遷移させて通知種別「督促」の送信対象とする	通知種別	貸出の状態
利用者管理	利用状況閲覧範囲判定	利用者区分が「利用者」の場合は自分の利用者番号に紐づく貸出履歴と予約状況のみ閲覧できる。他の利用者の情報は閲覧できない。利用者区分が「司書」の場合は利用者番号を指定して任意の利用者の利用状況を閲覧できる	利用者区分	
蔵書管理	書籍検索条件判定	検索語の前後空白を除去しUnicode NFKCで正規化する。キーワードはタイトルまたは著者の部分一致、タイトルと著者指定は当該属性の部分一致。ISBNは空白とハイフンを除去して完全一致。ジャンルはIDの完全一致。複数選択の同種条件はOR、検索語とジャンルと状態の間はANDで結合する。検索語とフィルターがすべて空なら全蔵書を対象とする。	検索条件種別、ジャンル	
蔵書管理	在庫状況判定	書籍の状態（在庫あり・貸出中・予約待ち）をもとに各書籍の在庫状況を表示する		書籍の状態
運営分析管理	人気書籍ランキング判定	指定期間の貸出記録の貸出回数を書籍ごとに集計し、貸出回数の多い順に順位を付与する。同じ貸出回数は同順位とし、次順位は先行書籍数+1とする。表示順は貸出回数降順、同数は書籍ID昇順。		
運営分析管理	集計期間判定	集計期間種別（日・月・年）と指定された期間に基づき、貸出日が期間内に含まれる貸出記録を集計対象とする	集計期間種別	
蔵書管理	媒体種別判定	書籍の媒体種別（紙・電子）を判定し、初期リリースでは紙の書籍のみを貸出・予約の対象とする。電子の書籍は登録のみ可能とし貸出・予約は受け付けない	媒体種別	
利用者管理	利用者削除可否判定	対象利用者に貸出中または延滞の貸出、予約中または通知済みの予約が1件でもあれば削除を拒否し、先に返却または予約取消を求める。どちらもなければ通常の利用者一覧から除外する。返却済み貸出と取消または終了予約の履歴は維持する。		貸出の状態、予約の状態
