業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
蔵書管理業務	蔵書管理フロー		書籍を登録する		書籍を登録する	情報	書籍			新規書籍の情報を入力し蔵書として登録する	受益者
蔵書管理業務	蔵書管理フロー		書籍を登録する		書籍を登録する	画面	蔵書登録画面	アクター	司書		受益者
蔵書管理業務	蔵書管理フロー		書籍情報を編集する		書籍情報を編集する	情報	書籍			既存書籍の情報を修正・更新する	提供者
蔵書管理業務	蔵書管理フロー		書籍情報を編集する		書籍情報を編集する	画面	蔵書編集画面	アクター	司書		提供者
蔵書管理業務	蔵書管理フロー		書籍を削除する		書籍を削除する	情報	書籍			不要な書籍を蔵書から除外する	提供者
蔵書管理業務	蔵書管理フロー		書籍を削除する		書籍を削除する	画面	蔵書管理画面	アクター	司書		提供者
貸出管理業務	貸出管理フロー		貸出を申請する		書籍を貸出する	情報	書籍			利用者が書籍の貸出手続きを行う	受益者
貸出管理業務	貸出管理フロー		貸出を申請する		書籍を貸出する	情報	貸出				受益者
貸出管理業務	貸出管理フロー		貸出を申請する		書籍を貸出する	条件	貸出期限ルール				受益者
貸出管理業務	貸出管理フロー		貸出を申請する		書籍を貸出する	条件	貸出可否判定ルール				受益者
貸出管理業務	貸出管理フロー		貸出を申請する		書籍を貸出する	画面	貸出手続き画面	アクター	利用者		受益者
貸出管理業務	貸出管理フロー		返却を申請する		書籍を返却する	情報	書籍			利用者が書籍の返却手続きを行う	受益者
貸出管理業務	貸出管理フロー		返却を申請する		書籍を返却する	情報	貸出				受益者
貸出管理業務	貸出管理フロー		返却を申請する		書籍を返却する	画面	返却手続き画面	アクター	利用者		受益者
貸出管理業務	貸出管理フロー		貸出状況を確認する		貸出状況を確認する	情報	貸出			司書が貸出中の書籍一覧を確認する	提供者
貸出管理業務	貸出管理フロー		貸出状況を確認する		貸出状況を確認する	画面	貸出状況一覧画面	アクター	司書		提供者
貸出管理業務	延滞管理フロー		延滞を検出する		延滞を検出する	情報	貸出			返却期限超過の貸出を自動検出する	提供者
貸出管理業務	延滞管理フロー		延滞を検出する		延滞を検出する	条件	延滞判定ルール				提供者
貸出管理業務	延滞管理フロー		延滞を検出する		延滞を検出する	画面	延滞管理画面	アクター	司書		提供者
貸出管理業務	延滞管理フロー		督促通知を送信する		督促通知を送信する	情報	貸出			延滞者にメールで督促通知を自動送信する	提供者
貸出管理業務	延滞管理フロー		督促通知を送信する		督促通知を送信する	情報	利用者				提供者
貸出管理業務	延滞管理フロー		督促通知を送信する		督促通知を送信する	イベント	督促メール送信	外部システム	メール送信サービス		提供者
予約管理業務	予約管理フロー		予約を申請する		書籍を予約する	情報	書籍			貸出中書籍への予約手続きを行う	受益者
予約管理業務	予約管理フロー		予約を申請する		書籍を予約する	情報	予約				受益者
予約管理業務	予約管理フロー		予約を申請する		書籍を予約する	条件	予約優先ルール				受益者
予約管理業務	予約管理フロー		予約を申請する		書籍を予約する	画面	予約申請画面	アクター	利用者		受益者
予約管理業務	予約管理フロー		予約通知を送信する		予約通知を送信する	情報	予約			予約書籍が返却された際に予約者へ通知する	提供者
予約管理業務	予約管理フロー		予約通知を送信する		予約通知を送信する	情報	利用者				提供者
予約管理業務	予約管理フロー		予約通知を送信する		予約通知を送信する	イベント	予約通知メール送信	外部システム	メール送信サービス		提供者
予約管理業務	予約管理フロー		予約をキャンセルする		予約をキャンセルする	情報	予約			利用者が予約を取り消す	受益者
予約管理業務	予約管理フロー		予約をキャンセルする		予約をキャンセルする	画面	予約管理画面	アクター	利用者		受益者
利用者管理業務	利用者管理フロー		利用者を登録する		利用者を登録する	情報	利用者			新規利用者の情報を入力し登録する	受益者
利用者管理業務	利用者管理フロー		利用者を登録する		利用者を登録する	画面	利用者登録画面	アクター	司書		受益者
利用者管理業務	利用者管理フロー		利用者情報を編集する		利用者情報を編集する	情報	利用者			既存利用者の情報を修正・更新する	提供者
利用者管理業務	利用者管理フロー		利用者情報を編集する		利用者情報を編集する	画面	利用者編集画面	アクター	司書		提供者
閲覧業務	蔵書検索フロー		書籍を検索する		書籍を検索する	情報	書籍			キーワードやジャンル等の条件で書籍を検索する	受益者
閲覧業務	蔵書検索フロー		書籍を検索する		書籍を検索する	画面	蔵書検索画面	アクター	利用者		受益者
閲覧業務	利用者マイページフロー		貸出履歴を確認する		貸出履歴を確認する	情報	貸出			自分の過去と現在の貸出一覧を確認する	受益者
閲覧業務	利用者マイページフロー		貸出履歴を確認する		貸出履歴を確認する	画面	貸出履歴画面	アクター	利用者		受益者
閲覧業務	利用者マイページフロー		予約状況を確認する		予約状況を確認する	情報	予約			自分の現在の予約一覧と予約順を確認する	受益者
閲覧業務	利用者マイページフロー		予約状況を確認する		予約状況を確認する	画面	予約状況画面	アクター	利用者		受益者
統計業務	統計・レポートフロー		在庫状況を確認する		在庫状況を確認する	情報	書籍			全書籍の在庫状態を一覧で確認する	受益者
統計業務	統計・レポートフロー		在庫状況を確認する		在庫状況を確認する	情報	統計情報				受益者
統計業務	統計・レポートフロー		在庫状況を確認する		在庫状況を確認する	画面	在庫状況画面	アクター	司書		受益者
統計業務	統計・レポートフロー		統計レポートを閲覧する		統計レポートを閲覧する	情報	統計情報			貸出回数ランキングや期間別統計を確認する	提供者
統計業務	統計・レポートフロー		統計レポートを閲覧する		統計レポートを閲覧する	画面	統計レポート画面	アクター	司書		提供者
