業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
蔵書管理業務	蔵書を管理するフロー	""	蔵書の登録状況を確認する	""	蔵書一覧を照会する	情報	書籍	""	""	登録済みの書籍をタイトル・著者・ISBN・出版社・ジャンル・資料種別とともに一覧表示し、一元管理されている蔵書の最新状態を確認する	""
蔵書管理業務	蔵書を管理するフロー	""	蔵書の登録状況を確認する	""	蔵書一覧を照会する	画面	蔵書管理台帳画面	アクター	司書	""	受益者
蔵書管理業務	蔵書を管理するフロー	""	書籍を受け入れて登録する	""	書籍を登録する	情報	書籍	""	""	新規に受け入れた書籍のタイトル・著者・ISBN・出版社・ジャンル・資料種別を登録し、書籍状態を在庫ありとする。資料種別は初期リリースでは紙書籍のみ有効とする	""
蔵書管理業務	蔵書を管理するフロー	""	書籍を受け入れて登録する	""	書籍を登録する	条件	資料種別利用可否条件	""	""	""	""
蔵書管理業務	蔵書を管理するフロー	""	書籍を受け入れて登録する	""	書籍を登録する	画面	書籍受入登録画面	アクター	司書	""	提供者
蔵書管理業務	蔵書を管理するフロー	""	書籍情報の誤りや変更を反映する	""	書籍情報を編集する	情報	書籍	""	""	登録済み書籍の書誌情報を修正し、システムが保持するデータを単一の正として維持する	""
蔵書管理業務	蔵書を管理するフロー	""	書籍情報の誤りや変更を反映する	""	書籍情報を編集する	条件	資料種別利用可否条件	""	""	""	""
蔵書管理業務	蔵書を管理するフロー	""	書籍情報の誤りや変更を反映する	""	書籍情報を編集する	画面	書誌情報訂正画面	アクター	司書	""	提供者
蔵書管理業務	蔵書を管理するフロー	""	除籍する書籍を蔵書から外す	""	書籍を削除する	情報	書籍	""	""	書籍を蔵書から削除する。書籍状態が貸出中・予約待ちの書籍は進行中の取引が追跡できなくなるため削除できない	""
蔵書管理業務	蔵書を管理するフロー	""	除籍する書籍を蔵書から外す	""	書籍を削除する	情報	予約	""	""	""	""
蔵書管理業務	蔵書を管理するフロー	""	除籍する書籍を蔵書から外す	""	書籍を削除する	条件	蔵書削除可否条件	""	""	""	""
蔵書管理業務	蔵書を管理するフロー	""	除籍する書籍を蔵書から外す	""	書籍を削除する	画面	除籍手続画面	アクター	司書	""	提供者
利用者管理業務	利用者を管理するフロー	""	利用者の登録状況を確認する	""	利用者一覧を照会する	情報	利用者	""	""	登録済み利用者を氏名・連絡先・利用者番号とともに一覧表示し、貸出責任者を特定できる状態を確認する	""
利用者管理業務	利用者を管理するフロー	""	利用者の登録状況を確認する	""	利用者一覧を照会する	画面	利用者名簿画面	アクター	司書	""	受益者
利用者管理業務	利用者を管理するフロー	""	利用申込を受け付けて登録する	""	利用者を登録する	情報	利用者	""	""	氏名・連絡先を登録し、利用者番号を採番して利用者を一意に識別できるようにする	""
利用者管理業務	利用者を管理するフロー	""	利用申込を受け付けて登録する	""	利用者を登録する	画面	利用申込受付画面	アクター	司書	""	提供者
利用者管理業務	利用者を管理するフロー	""	利用者情報の変更を反映する	""	利用者情報を編集する	情報	利用者	""	""	氏名・連絡先の変更を反映し、督促・通知が確実に届く状態を維持する	""
利用者管理業務	利用者を管理するフロー	""	利用者情報の変更を反映する	""	利用者情報を編集する	画面	利用者情報変更画面	アクター	司書	""	提供者
利用者管理業務	利用者を管理するフロー	""	退会する利用者を登録から外す	""	利用者を削除する	情報	利用者	""	""	利用者を削除する。貸出中の貸出や予約中の予約が残る利用者は削除できない	""
利用者管理業務	利用者を管理するフロー	""	退会する利用者を登録から外す	""	利用者を削除する	情報	貸出	""	""	""	""
利用者管理業務	利用者を管理するフロー	""	退会する利用者を登録から外す	""	利用者を削除する	情報	予約	""	""	""	""
