業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
蔵書管理業務	蔵書管理フロー	""	新しい書籍を受け入れる	""	書籍を登録する	情報	書籍	""	""	司書がタイトル、著者、ISBN、出版社、ジャンル、媒体種別（紙・電子）を入力して書籍を登録する。ISBNが同一の書籍は重複登録できない。登録した書籍の書籍状態は在庫ありとなる	""
蔵書管理業務	蔵書管理フロー	""	新しい書籍を受け入れる	""	書籍を登録する	条件	書籍登録条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	新しい書籍を受け入れる	""	書籍を登録する	条件	媒体種別適用条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	新しい書籍を受け入れる	""	書籍を登録する	条件	操作権限条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	新しい書籍を受け入れる	""	書籍を登録する	画面	書籍受入登録画面	アクター	司書	""	""
蔵書管理業務	蔵書管理フロー	""	書籍情報を修正する	""	書籍情報を変更する	情報	書籍	""	""	司書が登録済みの書籍のタイトル、著者、ISBN、出版社、ジャンル、媒体種別を編集して保存する	""
蔵書管理業務	蔵書管理フロー	""	書籍情報を修正する	""	書籍情報を変更する	条件	書籍登録条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍情報を修正する	""	書籍情報を変更する	条件	媒体種別適用条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍情報を修正する	""	書籍情報を変更する	条件	操作権限条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍情報を修正する	""	書籍情報を変更する	画面	書籍情報編集画面	アクター	司書	""	""
蔵書管理業務	蔵書管理フロー	""	書籍を除籍する	""	書籍を削除する	情報	書籍	""	""	司書が不要になった書籍を削除する。貸出中または予約待ち（取置）の書籍は削除できない。削除した書籍の書籍状態は削除済みとなり、検索結果に表示されなくなる	""
蔵書管理業務	蔵書管理フロー	""	書籍を除籍する	""	書籍を削除する	情報	貸出	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍を除籍する	""	書籍を削除する	情報	予約	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍を除籍する	""	書籍を削除する	条件	書籍削除可否条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍を除籍する	""	書籍を削除する	条件	操作権限条件	""	""	""	""
蔵書管理業務	蔵書管理フロー	""	書籍を除籍する	""	書籍を削除する	画面	除籍確認画面	アクター	司書	""	""
蔵書管理業務	蔵書管理フロー	""	利用できる蔵書を確認する	""	書籍詳細を表示する	情報	書籍	""	""	利用者が一元管理された蔵書から書籍の詳細（タイトル、著者、ISBN、出版社、ジャンル、媒体種別）と書籍状態を確認する	""
蔵書管理業務	蔵書管理フロー	""	利用できる蔵書を確認する	""	書籍詳細を表示する	画面	書籍詳細画面	アクター	利用者	""	""
蔵書管理業務	書籍検索フロー	""	読みたい書籍を探す	""	書籍を検索する	情報	書籍	""	""	利用者がキーワード、タイトル、著者、ISBN、ジャンルを条件に書籍を検索し、条件に一致する書籍を媒体種別と在庫状況付きで一覧表示する	""
蔵書管理業務	書籍検索フロー	""	読みたい書籍を探す	""	書籍を検索する	条件	書籍検索条件	""	""	""	""
蔵書管理業務	書籍検索フロー	""	読みたい書籍を探す	""	書籍を検索する	条件	媒体種別適用条件	""	""	""	""
蔵書管理業務	書籍検索フロー	""	読みたい書籍を探す	""	書籍を検索する	画面	蔵書検索画面	アクター	利用者	""	""
蔵書管理業務	書籍検索フロー	""	利用者から問い合わせのあった書籍を探す	""	所蔵書籍を検索する	情報	書籍	""	""	司書が利用者の問い合わせを受け、キーワード、タイトル、著者、ISBN、ジャンルで蔵書を検索し、書籍の所在と在庫状況を案内する	""
蔵書管理業務	書籍検索フロー	""	利用者から問い合わせのあった書籍を探す	""	所蔵書籍を検索する	条件	書籍検索条件	""	""	""	""
蔵書管理業務	書籍検索フロー	""	利用者から問い合わせのあった書籍を探す	""	所蔵書籍を検索する	条件	媒体種別適用条件	""	""	""	""
蔵書管理業務	書籍検索フロー	""	利用者から問い合わせのあった書籍を探す	""	所蔵書籍を検索する	画面	所蔵案内検索画面	アクター	司書	""	""
利用者管理業務	利用者管理フロー	""	利用者の利用申込を受け付ける	""	利用者を登録する	情報	利用者	""	""	司書が氏名と連絡先（メールアドレス等）を入力して利用者を登録する。一意の利用者番号を付与し、利用者状態は有効となる	""
利用者管理業務	利用者管理フロー	""	利用者の利用申込を受け付ける	""	利用者を登録する	条件	利用者登録条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の利用申込を受け付ける	""	利用者を登録する	条件	操作権限条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の利用申込を受け付ける	""	利用者を登録する	画面	利用申込受付画面	アクター	司書	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録内容を修正する	""	利用者情報を変更する	情報	利用者	""	""	司書が登録済みの利用者の氏名や連絡先を編集して保存する	""
利用者管理業務	利用者管理フロー	""	利用者の登録内容を修正する	""	利用者情報を変更する	条件	利用者登録条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録内容を修正する	""	利用者情報を変更する	条件	操作権限条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録内容を修正する	""	利用者情報を変更する	画面	利用者情報編集画面	アクター	司書	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録を抹消する	""	利用者を削除する	情報	利用者	""	""	司書が利用者を削除する。貸出中の書籍、または予約中・取置中の予約を持つ利用者は削除できない。削除した利用者の利用者状態は削除済みとなり、利用者一覧に表示されなくなる	""
利用者管理業務	利用者管理フロー	""	利用者の登録を抹消する	""	利用者を削除する	情報	貸出	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録を抹消する	""	利用者を削除する	情報	予約	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録を抹消する	""	利用者を削除する	条件	利用者削除可否条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録を抹消する	""	利用者を削除する	条件	操作権限条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	利用者の登録を抹消する	""	利用者を削除する	画面	利用登録抹消確認画面	アクター	司書	""	""
利用者管理業務	利用者管理フロー	""	図書館の Web サービスを使い始める	""	ログインする	情報	利用者	""	""	利用者が利用者番号で Web 画面にログインし、予約や自分の利用状況の確認などのサービスを利用できるようにする。有効な利用者だけがログインできる	""
利用者管理業務	利用者管理フロー	""	図書館の Web サービスを使い始める	""	ログインする	条件	操作権限条件	""	""	""	""
利用者管理業務	利用者管理フロー	""	図書館の Web サービスを使い始める	""	ログインする	画面	利用者認証画面	アクター	利用者	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	情報	貸出	""	""	司書が利用者番号と書籍を指定して貸出を登録する。貸出可否条件（在庫ありまたは本人の取置中の書籍であること等）を満たさない場合は登録できない。貸出日と貸出期間から返却期限を自動設定し、書籍状態を貸出中、貸出状態を貸出中にする。取置中の予約に基づく貸出では予約状態を受取済みにする。登録した貸出は在庫状況・人気書籍・貸出統計の集計対象となる貸出実績として蓄積する	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	情報	書籍	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	情報	利用者	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	情報	予約	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	条件	貸出可否条件	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	条件	返却期限算出条件	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	条件	媒体種別適用条件	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	条件	操作権限条件	""	""	""	""
貸出業務	貸出フロー	""	カウンターで書籍を貸し出す	""	貸出を登録する	画面	貸出受付画面	アクター	司書	""	""
貸出業務	貸出フロー	""	借りた書籍の返却期限を確認する	""	貸出内容を照会する	情報	貸出	""	""	利用者が現在借りている書籍と自動設定された返却期限を Web 画面で確認する	""
貸出業務	貸出フロー	""	借りた書籍の返却期限を確認する	""	貸出内容を照会する	情報	書籍	""	""	""	""
貸出業務	貸出フロー	""	借りた書籍の返却期限を確認する	""	貸出内容を照会する	条件	利用状況閲覧範囲条件	""	""	""	""
貸出業務	貸出フロー	""	借りた書籍の返却期限を確認する	""	貸出内容を照会する	画面	返却期限確認画面	アクター	利用者	""	""
貸出業務	返却フロー	""	カウンターで返却を受け付ける	""	返却を登録する	情報	貸出	""	""	司書が返却された書籍の返却を登録する。貸出に返却日を記録し、貸出状態を返却済みにする。予約がなければ書籍状態を在庫ありに、予約があれば予約待ち（取置）にする。返却の記録は貸出実績として集計対象に反映される	""
貸出業務	返却フロー	""	カウンターで返却を受け付ける	""	返却を登録する	情報	書籍	""	""	""	""
貸出業務	返却フロー	""	カウンターで返却を受け付ける	""	返却を登録する	情報	予約	""	""	""	""
貸出業務	返却フロー	""	カウンターで返却を受け付ける	""	返却を登録する	条件	返却時状態遷移条件	""	""	""	""
貸出業務	返却フロー	""	カウンターで返却を受け付ける	""	返却を登録する	条件	操作権限条件	""	""	""	""
貸出業務	返却フロー	""	カウンターで返却を受け付ける	""	返却を登録する	画面	返却受付画面	アクター	司書	""	""
貸出業務	返却フロー	""	予約者のために書籍を取り置く	""	取置を登録する	情報	予約	""	""	予約のある書籍の返却を契機に、予約順 1 位の予約を取置中にし、取置開始日と取置期限を設定する	""
貸出業務	返却フロー	""	予約者のために書籍を取り置く	""	取置を登録する	情報	書籍	""	""	""	""
貸出業務	返却フロー	""	予約者のために書籍を取り置く	""	取置を登録する	条件	取置通知条件	""	""	""	""
貸出業務	返却フロー	""	予約者のために書籍を取り置く	""	取置を登録する	条件	予約順決定条件	""	""	""	""
貸出業務	返却フロー	""	予約者のために書籍を取り置く	""	取置を登録する	条件	取置期限条件	""	""	""	""
貸出業務	返却フロー	""	予約者のために書籍を取り置く	""	取置を登録する	画面	取置手続画面	アクター	司書	""	""
貸出業務	返却フロー	""	取置の連絡を受け取る	""	取置を通知する	情報	通知	""	""	取置の登録を契機に、予約順 1 位の利用者にだけ、取置された書籍と取置期限をメール配信サービス経由でメール通知する。通知状態は送信待ちから送信済みまたは送信失敗となる	""
貸出業務	返却フロー	""	取置の連絡を受け取る	""	取置を通知する	情報	予約	""	""	""	""
貸出業務	返却フロー	""	取置の連絡を受け取る	""	取置を通知する	情報	利用者	""	""	""	""
貸出業務	返却フロー	""	取置の連絡を受け取る	""	取置を通知する	条件	取置通知条件	""	""	""	""
貸出業務	返却フロー	""	取置の連絡を受け取る	""	取置を通知する	条件	通知送信条件	""	""	""	""
貸出業務	返却フロー	""	取置の連絡を受け取る	""	取置を通知する	イベント	取置書籍受取案内配信	外部システム	メール配信サービス	""	""
貸出業務	予約フロー	""	借りたい書籍を予約する	""	予約を登録する	情報	予約	""	""	ログインした利用者が貸出中の書籍を予約する。予約可否条件（書籍が貸出中または予約待ち（取置）であり重複予約でないこと）を満たさない書籍は予約できない。予約は先着順の予約順付きで登録され、予約状態は予約中となる	""
貸出業務	予約フロー	""	借りたい書籍を予約する	""	予約を登録する	情報	書籍	""	""	""	""
貸出業務	予約フロー	""	借りたい書籍を予約する	""	予約を登録する	情報	利用者	""	""	""	""
貸出業務	予約フロー	""	借りたい書籍を予約する	""	予約を登録する	条件	予約可否条件	""	""	""	""
貸出業務	予約フロー	""	借りたい書籍を予約する	""	予約を登録する	条件	予約順決定条件	""	""	""	""
貸出業務	予約フロー	""	借りたい書籍を予約する	""	予約を登録する	画面	書籍予約申込画面	アクター	利用者	""	""
貸出業務	予約フロー	""	不要になった予約を取り消す	""	予約を取り消す	情報	予約	""	""	利用者が自分の予約中または取置中の予約を取り消す。予約状態は取消済みとなり、後続の予約者の予約順が繰り上がる	""
貸出業務	予約フロー	""	不要になった予約を取り消す	""	予約を取り消す	条件	予約順決定条件	""	""	""	""
貸出業務	予約フロー	""	不要になった予約を取り消す	""	予約を取り消す	画面	予約取消画面	アクター	利用者	""	""
貸出業務	予約フロー	""	書籍の予約状況を確認する	""	書籍の予約状況を照会する	情報	予約	""	""	司書が書籍ごとの予約者と予約順、予約状態を確認し、取置や貸出の手続きに備える	""
貸出業務	予約フロー	""	書籍の予約状況を確認する	""	書籍の予約状況を照会する	情報	書籍	""	""	""	""
貸出業務	予約フロー	""	書籍の予約状況を確認する	""	書籍の予約状況を照会する	情報	利用者	""	""	""	""
貸出業務	予約フロー	""	書籍の予約状況を確認する	""	書籍の予約状況を照会する	条件	操作権限条件	""	""	""	""
貸出業務	予約フロー	""	書籍の予約状況を確認する	""	書籍の予約状況を照会する	画面	予約待ち行列画面	アクター	司書	""	""
貸出業務	予約フロー	""	受け取られない取置を解除する	""	取置期限切れの予約を取り消す	情報	予約	""	""	タイマー（日次の期限チェック）起動で、取置期限を過ぎても受け取られない取置中の予約を取消済みにする。次の予約者がいれば取置を登録し、いなければ書籍状態を在庫ありに戻す	""
貸出業務	予約フロー	""	受け取られない取置を解除する	""	取置期限切れの予約を取り消す	情報	書籍	""	""	""	""
貸出業務	予約フロー	""	受け取られない取置を解除する	""	取置期限切れの予約を取り消す	条件	予約順決定条件	""	""	""	""
貸出業務	予約フロー	""	受け取られない取置を解除する	""	取置期限切れの予約を取り消す	条件	取置通知条件	""	""	""	""
貸出業務	予約フロー	""	受け取られない取置を解除する	""	取置期限切れの予約を取り消す	条件	取置期限条件	""	""	""	""
貸出業務	予約フロー	""	受け取られない取置を解除する	""	取置期限切れの予約を取り消す	タイマー	日次の期限チェック	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限の近い貸出を確認する	""	返却期限間近の貸出を抽出する	情報	貸出	""	""	タイマー（日次の期限チェック）起動で、リマインド送信条件（返却期限まで所定日数）に該当する未返却の貸出を抽出し、リマインドの送信対象となる通知を送信待ちで作成する	""
貸出業務	返却期限通知フロー	""	返却期限の近い貸出を確認する	""	返却期限間近の貸出を抽出する	情報	通知	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限の近い貸出を確認する	""	返却期限間近の貸出を抽出する	条件	リマインド送信条件	""	""	""	""
