	図書館蔵書管理システム
A	アクター
C	アクター群	アクター	説明
B	図書館職員	司書	役割:蔵書・利用者の登録と管理、貸出・返却の登録、予約の受付状況と延滞状況の確認、在庫状況や貸出傾向のレポートによる蔵書運用の判断を行う / 社内外:社内 / 立場:提供者 / 主担当業務:蔵書管理業務、貸出業務、蔵書分析業務
B	図書館利用者	利用者	役割:書籍を検索・予約して借り、自分の貸出履歴と予約状況を確認する。返却通知・リマインド・督促のメールを受け取る / 社内外:社外 / 立場:受益者
A	外部システム
C	外部システム群	外部システム	説明
B	通知連携	メール配信システム	予約書籍の返却通知、返却期限前のリマインド、延滞時の督促のメールを利用者の連絡先へ配信する
A	情報
C	コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
B	蔵書管理	書籍	書籍ID、タイトル、著者、ISBN、出版社、ジャンル、媒体種別、書籍状態、登録日、削除日	貸出、予約	書籍状態	媒体種別	蔵書を一元管理し検索するため、書籍ID単位に書誌情報と媒体種別（紙の書籍・電子書籍）と書籍状態を保持する。書籍検索条件で検索対象となり、削除済みの書籍は検索対象外とする。媒体種別は将来の電子書籍対応のため追加可能な区分とする
B	利用者管理	利用者	利用者番号、氏名、連絡先（メールアドレス）、登録日、削除日	貸出、予約、通知			貸出・予約・通知の前提となる利用者を特定し連絡するため、一意の利用者番号単位に氏名・連絡先を保持する。連絡先はメール配信システムによる通知の宛先になる
B	貸出管理	貸出	貸出ID、利用者番号、書籍ID、貸出日、返却期限、返却日、貸出状態	利用者、書籍、予約、通知	貸出状態		貸出・返却と返却期限を管理するため、貸出ID単位に誰がどの書籍をいつまで借りているかと貸出状態を保持する。貸出可否条件で貸出を判定し、返却期限算出条件で返却期限を自動設定する。リマインド送信条件・督促送信条件の判定対象となり、貸出履歴の照会と貸出統計・人気書籍ランキングの集計元になる
B	予約管理	予約	予約ID、利用者番号、書籍ID、受付日時、予約順位、予約状態、通知日時、完了日時、取消日時	利用者、書籍、貸出、通知	予約状態		貸出中の書籍の予約順を管理し返却時に予約順 1 位の利用者へ通知するため、予約ID単位に受付順の予約順位と予約状態を保持する。予約可否条件で受付可否と予約順位を決める。予約者への貸出で完了した貸出と関連する
B	通知管理	通知	通知ID、宛先利用者番号、宛先メールアドレス、対象貸出ID、対象予約ID、通知種別（返却通知・リマインド・督促）、送信日時	利用者、貸出、予約		通知種別	返却通知・リマインド・督促のメール送信を記録し、リマインドの重複送信や督促の連絡漏れを防ぐため、通知ID単位に宛先と対象の貸出または予約と通知種別を保持する。メールはメール配信システムで送信する
B	蔵書分析管理	在庫状況レポート	集計日時、書籍状態、書籍ID、タイトル、件数	書籍		レポート種別	司書が在庫状況を把握するため、書籍状態（在庫あり・貸出中・予約待ち）ごとの書籍と件数を集計する
B	蔵書分析管理	人気書籍ランキング	集計日時、順位、書籍ID、タイトル、著者、貸出回数	書籍、貸出		レポート種別	司書が人気の傾向を把握するため、書籍ごとの貸出回数を集計し多い順に並べる
B	蔵書分析管理	貸出統計	集計開始日、集計終了日、貸出件数、集計日時	貸出		レポート種別	司書が利用傾向を把握するため、集計期間条件に従い司書が指定した期間に含まれる貸出の件数を集計する
A	状態
C	コンテキスト	状態モデル	状態	遷移UC	遷移先状態	状態モデル・状態の説明
B	蔵書管理	書籍状態		書籍を登録する	在庫あり	書籍を登録する UC で書籍が蔵書として登録され、貸出可能な在庫ありになる
B	蔵書管理	書籍状態	在庫あり	貸出を登録する	貸出中	貸出を登録する UC で在庫ありの書籍を貸し出し、一冊一貸出のポリシーにより新たな貸出を受け付けない貸出中になる
B	蔵書管理	書籍状態	貸出中	返却を登録する	在庫あり	返却を登録する UC で予約のない書籍が返却され、再び貸出可能な在庫ありになる
B	蔵書管理	書籍状態	貸出中	返却を登録する	予約待ち	返却を登録する UC で予約のある書籍が返却され、予約順 1 位の利用者の受取りを待つ予約待ちになる
B	蔵書管理	書籍状態	予約待ち	貸出を登録する	貸出中	貸出を登録する UC で予約待ちの書籍を予約順 1 位の利用者へ貸し出し、貸出中になる
B	蔵書管理	書籍状態	予約待ち	予約を取り消す	在庫あり	予約を取り消す UC で予約待ちの書籍の予約がすべて取り消され、貸出可能な在庫ありに戻る
B	蔵書管理	書籍状態	在庫あり	書籍を削除する		書籍を削除する UC で貸出されていない書籍を削除し、蔵書一覧と検索の対象外にする。貸出中の書籍は削除しない
B	貸出管理	貸出状態		貸出を登録する	貸出中	貸出を登録する UC で貸出が記録され、返却期限が自動設定された貸出中になる
B	貸出管理	貸出状態	貸出中	返却を登録する	返却済	返却を登録する UC で返却期限内に返却され、貸出が返却済になる
B	貸出管理	貸出状態	貸出中	延滞の督促を送信する	延滞	延滞の督促を送信する UC（日次の期限チェック）で返却期限を超過した未返却の貸出が延滞になり、督促メールの送信対象になる
B	貸出管理	貸出状態	延滞	返却を登録する	返却済	返却を登録する UC で延滞していた書籍が返却され、貸出が返却済になる
B	貸出管理	貸出状態	返却済			返却済の貸出は変化せず、利用者の過去の貸出履歴と貸出統計・人気書籍ランキングの集計元として残る
B	予約管理	予約状態		書籍を予約する	予約中	書籍を予約する UC で貸出中の書籍の予約が受け付けられ、受付順の予約順位が付いた予約中になる
B	予約管理	予約状態	予約中	返却通知を送信する	通知済	返却通知を送信する UC で予約のある書籍が返却され、予約順 1 位の利用者へ返却通知メールを送信して通知済になる
B	予約管理	予約状態	通知済	貸出を登録する	完了	貸出を登録する UC で通知済の予約者へ予約待ちの書籍を貸し出し、予約が完了になる
B	予約管理	予約状態	予約中	予約を取り消す	取消	予約を取り消す UC で予約中の予約を利用者が取り消し、後続の予約者の予約順位を繰り上げる
B	予約管理	予約状態	通知済	予約を取り消す	取消	予約を取り消す UC で通知済の予約を利用者が取り消し、次の予約者がいなければ書籍を在庫ありに戻す
B	予約管理	予約状態	完了			完了した予約は変化せず、予約者への貸出の記録として残る
B	予約管理	予約状態	取消			取り消した予約は変化せず、予約順位の管理対象から外れる
A	条件
C	コンテキスト	条件	条件の説明	バリエーション	状態モデル
B	蔵書管理	書籍検索条件	キーワード・タイトル・著者・ISBN・ジャンルのいずれかを指定し、一致する書籍だけを抽出する。キーワードはタイトル等に含まれる書籍を対象にし、削除済みの書籍は対象外とする		
B	貸出管理	貸出可否条件	書籍状態が在庫あり（予約待ちの場合は予約順 1 位の利用者のみ）で、登録済みの利用者であれば貸出できる。貸出中の書籍は貸出できない		書籍状態
B	予約管理	予約可否条件	書籍状態が貸出中の書籍だけを予約できる。在庫ありの書籍は予約できない。予約は受付順に予約順位を付ける		書籍状態
B	貸出管理	返却期限算出条件	返却期限は貸出日に貸出期間を加えた日とする		
B	貸出管理	リマインド送信条件	未返却の貸出で、返却期限までの日数がリマインド日数以内になった場合に、リマインドメールを 1 回だけ送信する	通知種別	貸出状態
B	貸出管理	督促送信条件	未返却の貸出で返却期限を超過した場合に、貸出状態を延滞にして督促メールを送信する	通知種別	貸出状態
B	蔵書分析管理	集計期間条件	司書が指定した開始日から終了日までの期間に含まれる貸出を集計対象とする		
A	バリエーション
C	コンテキスト	バリエーション	値	説明
B	蔵書管理	媒体種別	紙の書籍、電子書籍	書籍の媒体を区分する。現時点は紙の書籍を扱い、将来の電子書籍の取り扱い開始時に蔵書管理の仕組みを作り直さずに種別を追加できるようにする
B	通知管理	通知種別	返却通知、リマインド、督促	利用者へ送るメールの種類を区分する。返却通知は予約書籍の返却時、リマインドは返却期限前、督促は返却期限超過時に送信する
B	蔵書分析管理	レポート種別	在庫状況レポート、人気書籍ランキング、貸出統計	司書が蔵書分析で確認するレポートの種類を区分する
A	BUC
C	業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明
B	蔵書管理業務	蔵書登録フロー		受け入れた書籍の情報を登録する		書籍を登録する	情報	書籍			司書がタイトル・著者・ISBN・出版社・ジャンル・媒体種別を入力して書籍を蔵書として登録し、書籍状態を在庫ありにする
B	蔵書管理業務	蔵書登録フロー		受け入れた書籍の情報を登録する		書籍を登録する	画面	書籍登録画面	アクター	司書	
B	蔵書管理業務	蔵書登録フロー		誤りや変更のある書籍情報を修正する		書籍情報を編集する	情報	書籍			司書が登録済みの書籍情報を編集して保存し、変更後の書籍情報を蔵書一覧と検索結果に反映する
B	蔵書管理業務	蔵書登録フロー		誤りや変更のある書籍情報を修正する		書籍情報を編集する	画面	書籍情報編集画面	アクター	司書	
B	蔵書管理業務	蔵書登録フロー		不要になった書籍を蔵書から外す		書籍を削除する	情報	書籍			司書が貸出されていない書籍を削除し、蔵書一覧と検索結果に表示されないようにする。貸出中の書籍は削除できない
B	蔵書管理業務	蔵書登録フロー		不要になった書籍を蔵書から外す		書籍を削除する	情報	貸出			
B	蔵書管理業務	蔵書登録フロー		不要になった書籍を蔵書から外す		書籍を削除する	画面	書籍削除確認画面	アクター	司書	
B	蔵書管理業務	蔵書登録フロー		一元管理された蔵書を確認する		蔵書一覧を確認する	情報	書籍			司書が紙台帳と表計算ファイルに代わってシステムに登録された蔵書を一覧で確認し、媒体種別と書籍状態を把握する
B	蔵書管理業務	蔵書登録フロー		一元管理された蔵書を確認する		蔵書一覧を確認する	画面	蔵書一覧画面	アクター	司書	
B	蔵書管理業務	蔵書検索フロー		目的の書籍を探す		書籍を検索する	情報	書籍			利用者がキーワード・タイトル・著者・ISBN・ジャンルのいずれかを指定して書籍を検索し、条件に一致する書籍の一覧を得る
B	蔵書管理業務	蔵書検索フロー		目的の書籍を探す		書籍を検索する	条件	書籍検索条件			
B	蔵書管理業務	蔵書検索フロー		目的の書籍を探す		書籍を検索する	画面	書籍検索画面	アクター	利用者	
B	蔵書管理業務	蔵書検索フロー		見つけた書籍の内容と在庫状況を確かめる		書籍の詳細を参照する	情報	書籍			利用者が検索結果から書籍を選び、書籍情報・媒体種別・書籍状態（在庫あり・貸出中・予約待ち）を確認する
B	蔵書管理業務	蔵書検索フロー		見つけた書籍の内容と在庫状況を確かめる		書籍の詳細を参照する	画面	書籍詳細画面	アクター	利用者	
B	蔵書管理業務	蔵書検索フロー		利用者の問い合わせに応じて蔵書を探す		蔵書を検索する	情報	書籍			司書が利用者の問い合わせを受けてキーワード・タイトル・著者・ISBN・ジャンルで蔵書を検索し、該当する書籍と書籍状態を案内する
B	蔵書管理業務	蔵書検索フロー		利用者の問い合わせに応じて蔵書を探す		蔵書を検索する	条件	書籍検索条件			
B	蔵書管理業務	蔵書検索フロー		利用者の問い合わせに応じて蔵書を探す		蔵書を検索する	画面	蔵書検索画面	アクター	司書	
B	利用者管理業務	利用者登録フロー		図書館の利用登録を申し込む					アクター	利用者	利用者が氏名と連絡先を司書に伝えて利用登録を申し込む。利用者自身による Web での登録は記述されていないためシステム操作は伴わない
B	利用者管理業務	利用者登録フロー		申込みを受けて利用者を登録する		利用者を登録する	情報	利用者			司書が氏名と連絡先を入力して利用者を登録し、一意の利用者番号を採番する
B	利用者管理業務	利用者登録フロー		申込みを受けて利用者を登録する		利用者を登録する	画面	利用者登録画面	アクター	司書	
B	利用者管理業務	利用者登録フロー		連絡先などの変更を反映する		利用者情報を編集する	情報	利用者			司書が登録済みの利用者の氏名・連絡先を編集して保存し、変更後の連絡先を以後の通知に使えるようにする
B	利用者管理業務	利用者登録フロー		連絡先などの変更を反映する		利用者情報を編集する	画面	利用者情報編集画面	アクター	司書	
B	利用者管理業務	利用者登録フロー		利用をやめた利用者を管理対象から外す		利用者を削除する	情報	利用者			司書が貸出中の書籍を持たない利用者を削除し、利用者一覧に表示されないようにする。貸出中の書籍を持つ利用者は削除できない
B	利用者管理業務	利用者登録フロー		利用をやめた利用者を管理対象から外す		利用者を削除する	情報	貸出			
B	利用者管理業務	利用者登録フロー		利用をやめた利用者を管理対象から外す		利用者を削除する	画面	利用者削除確認画面	アクター	司書	
B	利用者管理業務	利用状況照会フロー		自分の貸出状況を確かめる		貸出履歴を照会する	情報	貸出			利用者が Web 画面で自分の現在の貸出と返却期限、過去の貸出を区別して確認する。他の利用者の貸出は表示しない
B	利用者管理業務	利用状況照会フロー		自分の貸出状況を確かめる		貸出履歴を照会する	情報	書籍			
B	利用者管理業務	利用状況照会フロー		自分の貸出状況を確かめる		貸出履歴を照会する	情報	利用者			
B	利用者管理業務	利用状況照会フロー		自分の貸出状況を確かめる		貸出履歴を照会する	画面	マイ貸出履歴画面	アクター	利用者	
B	利用者管理業務	利用状況照会フロー		自分の予約の進み具合を確かめる		予約状況を照会する	情報	予約			利用者が Web 画面で自分の予約中の書籍と現在の予約順位を確認する。他の利用者の予約は表示しない
B	利用者管理業務	利用状況照会フロー		自分の予約の進み具合を確かめる		予約状況を照会する	情報	書籍			
B	利用者管理業務	利用状況照会フロー		自分の予約の進み具合を確かめる		予約状況を照会する	情報	利用者			
B	利用者管理業務	利用状況照会フロー		自分の予約の進み具合を確かめる		予約状況を照会する	画面	マイ予約状況画面	アクター	利用者	
B	貸出業務	貸出フロー		借りたい書籍を窓口に持参して貸出を申し出る					アクター	利用者	利用者が利用者番号と借りたい書籍を司書に提示して貸出を申し出る。貸出の登録は司書が行う
B	貸出業務	貸出フロー		貸出を申し出た利用者を確認する		利用者を特定する	情報	利用者			司書が利用者番号で登録済みの利用者を検索し、貸出の相手となる利用者を特定する
B	貸出業務	貸出フロー		貸出を申し出た利用者を確認する		利用者を特定する	画面	利用者照会画面	アクター	司書	
B	貸出業務	貸出フロー		書籍が貸し出せるかを確かめる		貸出可否を確認する	情報	書籍			司書が書籍の書籍状態を確認し、在庫ありの書籍か、予約待ちで予約順 1 位の利用者への貸出かを貸出可否条件で判定する
B	貸出業務	貸出フロー		書籍が貸し出せるかを確かめる		貸出可否を確認する	情報	予約			
B	貸出業務	貸出フロー		書籍が貸し出せるかを確かめる		貸出可否を確認する	情報	利用者			
B	貸出業務	貸出フロー		書籍が貸し出せるかを確かめる		貸出可否を確認する	条件	貸出可否条件			
B	貸出業務	貸出フロー		書籍が貸し出せるかを確かめる		貸出可否を確認する	画面	貸出可否判定画面	アクター	司書	
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	情報	貸出			司書が利用者と書籍を指定して貸出を登録する。貸出日に貸出期間を加えた日を返却期限として自動設定し、貸出状態を貸出中、書籍状態を貸出中にする。予約者への貸出の場合は予約状態を完了にする
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	情報	書籍			
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	情報	利用者			
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	情報	予約			
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	条件	貸出可否条件			
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	条件	返却期限算出条件			
B	貸出業務	貸出フロー		利用者に書籍を貸し出す		貸出を登録する	画面	貸出受付画面	アクター	司書	
B	貸出業務	返却フロー		返却された書籍を受け付ける		返却を登録する	情報	貸出			司書が返却された書籍の返却を登録し、貸出状態を返却済にする。予約がなければ書籍状態を在庫ありに、予約があれば予約待ちにする
B	貸出業務	返却フロー		返却された書籍を受け付ける		返却を登録する	情報	書籍			
B	貸出業務	返却フロー		返却された書籍を受け付ける		返却を登録する	情報	予約			
B	貸出業務	返却フロー		返却された書籍を受け付ける		返却を登録する	画面	返却受付画面	アクター	司書	
