コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
蔵書管理	書籍の状態	""	書籍を登録する	在庫あり	蔵書ごとの在庫状況を把握し貸出可否・予約可否・削除可否を判断するために管理する。司書が蔵書を登録すると在庫ありになる
蔵書管理	書籍の状態	在庫あり	貸出を登録する	貸出中	司書が在庫ありの蔵書の貸出を登録すると貸出中になる(二重貸出の防止)
蔵書管理	書籍の状態	貸出中	返却を登録する	在庫あり	司書が返却を登録した時に、その書籍に待機中の予約が無ければ在庫ありに戻る(条件「返却後の書籍状態決定」)
蔵書管理	書籍の状態	貸出中	返却を登録する	取り置き中	司書が返却を登録した時に、その書籍に待機中の予約があれば予約順1位の利用者向けの取り置き中になる(条件「返却後の書籍状態決定」)
蔵書管理	書籍の状態	取り置き中	貸出を登録する	貸出中	司書が取り置き中の蔵書を取り置き先の利用者に貸し出すと貸出中になる。他の利用者には貸し出せない
蔵書管理	書籍の状態	在庫あり	書籍を削除する	除籍済み	司書が蔵書を削除すると管理対象外(除籍済み)になる。貸出中・取り置き中、または予約がある書籍は削除できない(条件「書籍削除可否」)
蔵書管理	書籍の状態	除籍済み	""	""	除籍済みの蔵書は管理対象外となり状態遷移を終える
貸出管理	貸出の状態	""	貸出を登録する	貸出中	返却期限の管理と延滞者への督促を自動化するために管理する。司書が貸出を登録すると貸出中になり、貸出日に貸出期間を加えた返却期限が設定される
貸出管理	貸出の状態	貸出中	返却を登録する	返却済み	司書が返却期限内に返却を登録すると返却日が記録され返却済みになる
貸出管理	貸出の状態	貸出中	延滞を督促する	延滞中	返却期限を超過した未返却の貸出は定時処理で延滞中になり、利用者に督促メールが送信される(条件「延滞判定」)
貸出管理	貸出の状態	延滞中	返却を登録する	返却済み	司書が延滞中の貸出の返却を登録すると返却日が記録され返却済みになり、督促の対象外になる
貸出管理	貸出の状態	返却済み	""	""	返却済みの貸出は貸出履歴と貸出統計の集計に使う記録として残り、状態遷移を終える
予約管理	予約の状態	""	書籍を予約する	待機中	貸出中の書籍の待ち順を公平に管理し予約者への通知を行うために管理する。利用者が貸出中の書籍を予約すると受付順の予約順位付きで待機中になる
予約管理	予約の状態	待機中	返却を登録する	取り置き中	予約のある書籍の返却が登録されると予約順1位の予約が取り置き中になり、受取可能メールが送信される
予約管理	予約の状態	待機中	予約を取り消す	取消済み	利用者が待機中の自分の予約を取り消すと取消済みになり、後続の予約順位が繰り上がる(条件「予約取消可否」)
予約管理	予約の状態	取り置き中	貸出を登録する	受取済み	司書が取り置き中の書籍を予約者に貸し出すと受取済みになる
予約管理	予約の状態	受取済み	""	""	受取が完了した予約は状態遷移を終える
予約管理	予約の状態	取消済み	""	""	取り消された予約は予約順位の対象外となり状態遷移を終える
通知管理	通知の状態	""	受取可能を通知する	送信待ち	取り置き(受取可能)・返却期限リマインド・延滞督促のメール送信有無を記録し、通知漏れと同日の重複送信を防ぐために管理する。予約のある書籍の返却登録で受取可能通知の対象が判定されると送信待ちになる(条件「予約者通知要否」)
通知管理	通知の状態	""	返却期限をリマインドする	送信待ち	定時処理で返却期限のリマインド日数前の未返却の貸出が判定されると返却期限リマインドの通知が送信待ちになる(条件「リマインド対象判定」)
通知管理	通知の状態	""	延滞を督促する	送信待ち	定時処理で延滞中の貸出が判定されると延滞督促の通知が送信待ちになる。同じ延滞に同日送信済みの督促があれば通知を作らない(条件「督促重複抑止」)
通知管理	通知の状態	送信待ち	受取可能を通知する	送信済み	メール配信サービスへの受取可能メールの送信が完了すると送信日時が記録され送信済みになる
通知管理	通知の状態	送信待ち	返却期限をリマインドする	送信済み	メール配信サービスへのリマインドメールの送信が完了すると送信日時が記録され送信済みになる
通知管理	通知の状態	送信待ち	延滞を督促する	送信済み	メール配信サービスへの督促メールの送信が完了すると送信日時が記録され送信済みになる
通知管理	通知の状態	送信済み	""	""	送信済みの通知は重複送信判定の記録として残り、状態遷移を終える
